player,elo_Hard,elo_Clay,elo_Grass
Jannik Sinner,1933.8729480063625,1628.993097897958,1621.8537472333128
Aryna Sabalenka,1813.6241060044392,1661.009573500171,1500.4428134507607
Iga Swiatek,1767.3104051704468,1779.6779884705081,1521.5556524777987
Coco Gauff,1764.7642415186062,1629.0708201856405,1554.015401655881
Alexander Zverev,1761.9951454159727,1698.3358134128207,1568.3612859885347
Carlos Alcaraz,1722.9883125588867,1706.9007813850067,1640.4529578821703
Qinwen Zheng,1722.6463553761619,1682.303595140743,1480.5486628419117
Taylor Fritz,1700.6892094118878,1615.9559021084062,1622.3769725855445
Grigor Dimitrov,1693.0423515407533,1576.0681849679593,1543.9955534285248
Ugo Humbert,1687.315611924138,1467.9614836565943,1528.932671863522
Jack Draper,1683.6933013943858,1475.0642346946613,1580.033100336577
Paula Badosa,1680.6144099515086,1541.4568059225473,1553.698045911454
Karolina Muchova,1676.4476514058858,1524.0505114204482,1491.1144079286362
Karen Khachanov,1674.6633557362002,1555.9064573887938,1473.8103200034768
Holger Rune,1673.4451149767617,1579.5864373579127,1527.6526823046079
Daniil Medvedev,1671.5629481628314,1592.9389860263939,1583.3636784888927
Novak Djokovic,1669.8633225805029,1687.8164338021054,1592.6036601230512
Jessica Pegula,1666.533639947324,1522.7685300767182,1528.8531485746119
Marta Kostyuk,1645.337402421626,1530.4682782096845,1497.950116478452
Alex De Minaur,1645.0836422073153,1598.2680172440012,1599.965661931165
Emma Navarro,1643.9913868144063,1557.3480118931182,1573.4425815329434
Diana Shnaider,1639.8559650645227,1542.7562330820335,1571.8239292157914
Alexei Popyrin,1637.099330109954,1454.144461693251,1507.341467501789
Tomas Machac,1630.19260781716,1562.0222638728517,1483.1444859458002
Rebecca Sramkova,1628.382052107955,1522.3267556183996,1478.4182391255572
Jasmine Paolini,1624.5771217877675,1616.7093123204227,1605.366778741948
Ben Shelton,1623.4752826549718,1550.2227077830591,1518.310853271816
Sebastian Korda,1622.6834087871646,1515.9632683322925,1550.7643579295968
Elena Rybakina,1621.759082152526,1623.251476275206,1578.7308305719762
Jordan Thompson,1618.6458042244665,1463.3555927979082,1520.2233240009352
Tommy Paul,1616.5363056710344,1600.8035476086218,1625.0671060641257
Maria Sakkari,1608.786112602997,1544.9790989805715,1500.373278079227
Anna Kalinskaya,1608.592098048539,1475.0339327101221,1569.4533500338052
David Goffin,1606.1846872309495,1482.189136773104,1461.0082175520479
Mirra Andreeva,1605.8434412276895,1645.294449141179,1468.690500977295
Amanda Anisimova,1604.837397425232,1471.4627267367384,1500.0
Alex Michelsen,1603.4089760998042,1461.352612836545,1509.266511359696
Victoria Azarenka,1601.64120628528,1550.2706711389228,1523.6131948711043
Beatriz Haddad Maia,1601.3265037565995,1510.4823865960905,1509.74588047464
Arthur Fils,1600.2216956021803,1525.305397994842,1554.9701207060207
Yulia Putintseva,1598.9060524347108,1556.9330844721662,1598.0280473866787
Katie Boulter,1597.053104787693,1432.1132405733567,1549.634245553487
Anastasia Pavlyuchenkova,1595.4742335612234,1473.5554566348655,1486.0482749671032
Gael Monfils,1592.0564537655755,1456.6157492100256,1548.358818502311
Frances Tiafoe,1591.3829594081685,1492.2806258653493,1507.7426571725732
Flavio Cobolli,1591.2985265810182,1535.6446187469694,1494.8652517604166
Stefanos Tsitsipas,1590.3837402944812,1679.8618506607295,1499.1803048002653
Elina Svitolina,1587.7418528426335,1554.52766121595,1548.3461873017586
Linda Noskova,1583.1046686685904,1498.97098958848,1500.5122028803187
Ekaterina Alexandrova,1582.9304796174797,1414.0753490267339,1527.9883522939838
Hubert Hurkacz,1582.3544421777635,1630.8362891974289,1548.8609396748634
Jakub Mensik,1579.1477920760772,1531.5890911541442,1466.3162285506003
Daria Kasatkina,1578.12180988462,1540.9418480710017,1567.1986677694354
Joao Fonseca,1576.235386909416,1498.6340407503455,1483.8697268955461
Jiri Lehecka,1575.739042871572,1557.1539089214455,1500.0
Denis Shapovalov,1573.9634114974758,1505.7680276697727,1519.583683456572
Andrey Rublev,1573.63510840029,1569.514824769486,1463.9778184448264
Bu Yunchaokete,1572.361755549276,1500.0,1500.0
Taylor Townsend,1571.894552880828,1460.7652125998814,1467.9617420754157
Magdalena Frech,1571.4583239426386,1488.3840352422574,1480.270255502468
Naomi Osaka,1571.3406622338148,1516.866866065518,1505.2999735676738
Sonay Kartal,1567.7759013074951,1500.0,1517.3271404091126
Danielle Collins,1565.801153932804,1644.7561929465319,1540.5688311008257
Zeynep Sonmez,1564.8168109795713,1466.2549407085965,1499.897369839394
Tallon Griekspoor,1564.5833197155685,1525.5661068080444,1511.6710064227123
Caroline Wozniacki,1561.7863005210834,1492.6835099307148,1519.8218052926406
Yannick Hanfmann,1557.1062127491966,1501.896935028899,1467.1485381274813
Matteo Berrettini,1555.555416458612,1685.402697566346,1543.899847708275
Yue Yuan,1553.4781452189625,1453.6193598962068,1467.0408989814061
Emma Raducanu,1552.349147840854,1493.1793489633546,1571.1120395192038
Cameron Norrie,1550.6755849970548,1509.5789256855792,1497.2359222318282
Leylah Fernandez,1549.7697174674795,1515.880861290586,1540.568297499859
Madison Keys,1544.9301064066908,1634.709557835309,1549.5327153417406
Matteo Arnaldi,1543.6007576050004,1527.9060619545721,1479.0643516410826
Olga Danilovic,1543.0107427569205,1555.8460724968897,1480.0
Suzan Lamens,1542.7189561940809,1499.4357167128962,1499.3540041129588
Arthur Rinderknech,1542.3368592893144,1480.5978878339229,1489.7547558617914
Brandon Nakashima,1541.6944216011423,1502.1346350399192,1540.7072216660833
Polina Kudermetova,1541.3919408527863,1484.4032484321433,1500.0
Marcos Giron,1539.9987750259752,1439.835121063731,1576.5094688700492
Giovanni Mpetshi Perricard,1539.9537839578445,1550.6430478154275,1535.274458587199
Anastasia Potapova,1538.6988405496559,1540.3114801667741,1492.5293187947834
Learner Tien,1537.854791342792,1500.0,1500.0
Donna Vekic,1537.8107105982472,1574.163778256174,1609.9172328633701
Maria Timofeeva,1537.6380651741108,1454.7789988474135,1500.0
Yuliia Starodubtseva,1537.326048159631,1463.4869959414448,1500.407769957875
Roberto Bautista Agut,1537.224540691824,1499.0929175923823,1554.6596239579612
Peyton Stearns,1536.8840909503342,1547.96794236886,1478.797098025186
Zizou Bergs,1536.4871389542566,1468.5082899304498,1478.2387715963205
Thanasi Kokkinakis,1536.1144416763175,1479.785080223568,1500.1773654088854
Henrique Rocha,1535.6735603581653,1484.36343370299,1500.0
Casper Ruud,1535.1872691837639,1696.980332769232,1498.9094084244095
Hamad Medjedovic,1535.033556628538,1483.5323210742565,1499.1688543218975
Francisco Cerundolo,1534.8661336859757,1625.9504472761512,1446.4254206377016
Diane Parry,1534.0241821400052,1504.233917845658,1495.287123952177
Pablo Carreno Busta,1533.879322541028,1483.0698725520228,1482.1727296199674
Viktorija Golubic,1533.5465558363892,1480.7415440804873,1454.0329490287868
Kei Nishikori,1533.4854099386864,1484.019044155041,1478.1551444827264
Lorenzo Musetti,1532.9962860715448,1607.3326049705074,1636.026542469189
Fabian Marozsan,1531.5688828799523,1468.7314120843741,1451.2837826461976
Emil Ruusuvuori,1530.6885397078051,1445.6156761972309,1518.9483394225128
Blaise Bicknell,1530.0,1500.0,1500.0
Fitriadi M Rifqi,1530.0,1500.0,1500.0
Nam Hoang Ly,1530.0,1500.0,1500.0
Cezar Cretu,1529.4723186004162,1500.0,1500.0
Darian King,1529.3528000084657,1500.0,1500.0
Alex Knaff,1529.2622944196721,1500.7002458626775,1500.0
Aleksandre Bakshi,1529.0982741756136,1500.0,1500.0
Nicolai Budkov Kjaer,1528.9607580892368,1500.0,1500.0
Ricardas Berankis,1528.7334920786259,1500.0,1500.0
Thomas Yaka Kofi Setodji,1528.7080052393337,1500.0,1500.0
Anastasija Sevastova,1527.8508543669013,1500.0,1500.0
Xin Yu Wang,1527.3301171432047,1516.8898415346462,1525.3019758075113
Mananchaya Sawangkaew,1526.8270491470785,1500.0,1500.0
