player,elo_Hard,elo_Clay,elo_Grass
j. sinner,1933.8729480063623,1628.993097897958,1621.8537472333128
a. sabalenka,1813.6241060044392,1661.009573500171,1500.4428134507607
i. swiatek,1767.3104051704468,1779.677988470508,1521.5556524777987
c. gauff,1764.7642415186062,1629.0708201856403,1554.015401655881
a. zverev,1761.9951454159727,1698.3358134128207,1568.3612859885347
c. alcaraz,1722.9883125588867,1706.900781385007,1640.4529578821705
q. zheng,1722.646355376162,1682.303595140743,1480.5486628419117
t. fritz,1700.6892094118878,1615.9559021084062,1622.3769725855443
g. dimitrov,1693.042351540753,1576.0681849679593,1543.9955534285248
u. humbert,1687.315611924138,1467.9614836565945,1528.932671863522
j. draper,1683.6933013943858,1475.0642346946613,1580.033100336577
p. badosa,1680.6144099515086,1541.4568059225471,1553.698045911454
k. muchova,1676.4476514058858,1524.0505114204482,1491.1144079286362
k. khachanov,1674.6633557362002,1555.9064573887938,1473.8103200034768
h. rune,1673.4451149767615,1579.5864373579127,1527.652682304608
d. medvedev,1671.5629481628314,1592.938986026394,1583.363678488893
n. djokovic,1669.8633225805029,1687.8164338021054,1592.6036601230512
j. pegula,1666.533639947324,1522.7685300767182,1528.853148574612
m. kostyuk,1645.337402421626,1530.4682782096845,1497.950116478452
a. minaur,1645.0836422073153,1598.2680172440012,1599.965661931165
e. navarro,1643.9913868144065,1557.3480118931182,1573.4425815329434
d. shnaider,1639.8559650645227,1542.7562330820335,1571.8239292157914
a. popyrin,1637.099330109954,1454.144461693251,1507.341467501789
t. machac,1630.19260781716,1562.0222638728517,1483.1444859458002
r. sramkova,1628.382052107955,1522.3267556183996,1478.4182391255572
j. paolini,1624.5771217877675,1616.709312320423,1605.366778741948
b. shelton,1623.4752826549718,1550.2227077830591,1518.310853271816
s. korda,1622.6834087871646,1515.9632683322925,1550.7643579295968
e. rybakina,1621.759082152526,1623.251476275206,1578.7308305719762
j. thompson,1618.6458042244665,1463.3555927979082,1520.2233240009352
t. paul,1616.5363056710344,1600.8035476086218,1625.0671060641257
m. sakkari,1608.786112602997,1544.9790989805715,1500.373278079227
a. kalinskaya,1608.592098048539,1475.033932710122,1569.4533500338052
d. goffin,1606.1846872309495,1482.189136773104,1461.008217552048
m. andreeva,1605.8434412276897,1645.294449141179,1468.690500977295
a. anisimova,1604.837397425232,1471.4627267367384,1500.0
a. michelsen,1603.4089760998042,1461.352612836545,1509.266511359696
v. azarenka,1601.64120628528,1550.2706711389228,1523.6131948711045
b. maia,1601.3265037565995,1510.4823865960905,1509.74588047464
a. fils,1600.2216956021805,1525.305397994842,1554.970120706021
y. putintseva,1598.9060524347108,1556.9330844721662,1598.0280473866787
k. boulter,1597.053104787693,1432.1132405733567,1549.634245553487
a. pavlyuchenkova,1595.4742335612234,1473.5554566348655,1486.0482749671032
g. monfils,1592.0564537655755,1456.6157492100256,1548.358818502311
f. tiafoe,1591.3829594081683,1492.2806258653493,1507.7426571725732
f. cobolli,1591.2985265810182,1535.6446187469694,1494.8652517604166
s. tsitsipas,1590.3837402944812,1679.8618506607295,1499.1803048002653
e. svitolina,1587.7418528426335,1554.52766121595,1548.3461873017586
l. noskova,1583.1046686685904,1498.97098958848,1500.512202880319
e. alexandrova,1582.9304796174797,1414.075349026734,1527.9883522939838
h. hurkacz,1582.3544421777635,1630.8362891974289,1548.8609396748634
j. mensik,1579.1477920760772,1531.5890911541442,1466.3162285506005
d. kasatkina,1578.12180988462,1540.9418480710017,1567.1986677694354
j. fonseca,1576.235386909416,1498.6340407503455,1483.869726895546
j. lehecka,1575.739042871572,1557.1539089214457,1500.0
d. shapovalov,1573.9634114974758,1505.768027669773,1519.583683456572
a. rublev,1573.63510840029,1569.514824769486,1463.9778184448264
b. yunchaokete,1572.361755549276,1500.0,1500.0
t. townsend,1571.894552880828,1460.7652125998814,1467.9617420754155
m. frech,1571.4583239426386,1488.3840352422574,1480.270255502468
n. osaka,1571.3406622338148,1516.866866065518,1505.2999735676738
s. kartal,1567.7759013074951,1500.0,1517.3271404091126
d. collins,1565.801153932804,1644.756192946532,1540.5688311008255
z. sonmez,1564.8168109795713,1466.2549407085965,1499.897369839394
t. griekspoor,1564.5833197155685,1525.5661068080444,1511.6710064227125
c. wozniacki,1561.7863005210834,1492.6835099307148,1519.8218052926406
y. hanfmann,1557.1062127491966,1501.896935028899,1467.1485381274813
m. berrettini,1555.555416458612,1685.402697566346,1543.899847708275
y. yuan,1553.4781452189625,1453.6193598962068,1467.040898981406
e. raducanu,1552.349147840854,1493.1793489633546,1571.1120395192038
c. norrie,1550.6755849970548,1509.5789256855792,1497.2359222318282
l. fernandez,1549.7697174674795,1515.880861290586,1540.568297499859
m. keys,1544.9301064066908,1634.709557835309,1549.5327153417406
m. arnaldi,1543.6007576050004,1527.906061954572,1479.0643516410826
o. danilovic,1543.0107427569203,1555.8460724968895,1480.0
s. lamens,1542.7189561940809,1499.4357167128962,1499.3540041129588
a. rinderknech,1542.3368592893144,1480.5978878339229,1489.7547558617914
b. nakashima,1541.6944216011425,1502.1346350399192,1540.7072216660831
p. kudermetova,1541.3919408527863,1484.4032484321433,1500.0
m. giron,1539.9987750259752,1439.835121063731,1576.5094688700492
g. perricard,1539.9537839578445,1550.6430478154275,1535.274458587199
a. potapova,1538.698840549656,1540.311480166774,1492.5293187947834
l. tien,1537.854791342792,1500.0,1500.0
d. vekic,1537.8107105982472,1574.163778256174,1609.91723286337
m. timofeeva,1537.6380651741108,1454.7789988474135,1500.0
y. starodubtseva,1537.326048159631,1463.4869959414448,1500.407769957875
r. agut,1537.224540691824,1499.0929175923825,1554.6596239579612
p. stearns,1536.8840909503342,1547.96794236886,1478.797098025186
z. bergs,1536.4871389542566,1468.5082899304498,1478.2387715963205
t. kokkinakis,1536.1144416763177,1479.785080223568,1500.1773654088854
h. rocha,1535.673560358165,1484.36343370299,1500.0
c. ruud,1535.187269183764,1696.980332769232,1498.9094084244095
h. medjedovic,1535.033556628538,1483.5323210742563,1499.1688543218977
f. cerundolo,1534.8661336859757,1625.9504472761512,1446.4254206377016
d. parry,1534.0241821400052,1504.233917845658,1495.287123952177
p. busta,1533.879322541028,1483.0698725520228,1482.1727296199674
